ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
b3568411,CHW Delta-P Setpoint Offset,Base,Setpoint,Chilled_Water_Differential_Pressure_Setpoint,,,"chilled, water, delta, pressure","setpoint, offset",sp,hisMode:sampled,,,,,
3025c47c,HHW Flow Rate,Base,Sensor,Hot_Water_Flow_Sensor,,,"hot, water, flow",,sensor|sp,hisMode:sampled,,,,,
56b0e625,HHW Flow Rate Setpoint,Base,Setpoint,Hot_Water_Flow_Setpoint,,,"hot, water, flow",setpoint,sp,hisMode:sampled,,,,,
dc432b2d,HHW Delta-T,Base,Sensor,Hot_Water_Differential_Temperature_Sensor,,,"hot, water, delta, temp",,sp,hisMode:sampled,,,,,
3192d1c5,HHW Delta-P,Base,Sensor,Hot_Water_Differential_Pressure_Sensor,,,"hot, water, delta, pressure",,sp,hisMode:sampled,,,,,
105cf459,HHW Delta-P Setpoint,Base,Setpoint,Hot_Water_Differential_Pressure_Setpoint,,,"hot, water, delta, pressure",setpoint,sp,hisMode:sampled,,,,,
15133354,CDW Flow Rate,Base,Sensor,Condenser_Water_Flow_Sensor,,,"condenser, water, flow",,sensor|sp,hisMode:sampled,,,,,
233aebe3,CDW Flow Rate Setpoint,Base,Setpoint,Condenser_Water_Flow_Setpoint,,,"condenser, water, flow",setpoint,sp,hisMode:sampled,,,,,
67c2603c,Bypass Water Flow Rate,Base,Sensor,Bypass_Water_Flow_Sensor,,,"bypass, water, flow",,sensor|sp,hisMode:sampled,,,,,
8099a392,Entering Water Temperature,Base,Sensor,Entering_Water_Temperature_Sensor,,,"entering, water, temp",,sensor,hisMode:sampled,,,,,
fa9cd73d,Leaving Water Temperature,Base,Sensor,Leaving_Water_Temperature_Sensor,,,"leaving, water, temp",,sensor,hisMode:sampled,,,,,
491f50c8,Entering Water Flow Rate,Base,Sensor,Entering_Water_Flow_Sensor,,,"pressure, entering, water, flow",,sensor|sp,hisMode:sampled,,,,,
27a7a538,Leaving Water Flow Rate,Base,Sensor,Leaving_Water_Flow_Sensor,,,"pressure, leaving, water, flow",,sensor|sp,hisMode:sampled,,,,,
fdca9558,Water Delta-T,Base,Sensor,Water_Differential_Temperature_Sensor,,,"water, temp, delta",,sp,hisMode:sampled,,,,,
8898722e,Water Temperature,Base,Sensor,Water_Temperature_Sensor,,,"water, temp",,sensor,hisMode:sampled,,,,,
fefbd1dc,Basin Water Level,Subparts,Sensor,Collection Basin Water Level Sensor,,,water,"basin, level",sensor|sp,hisMode:sampled,,,,,
e83bd73b,Water Level,Base,Sensor,Water Level Sensor,,,water,level,sensor|sp,hisMode:sampled,,,,,
c71203fb,Leak Alarm,Base,Alarm,Leak Alarm,,,alarm,leak,sensor|sp,hisMode:sampled,,,,,
2033c05f,Zone Air Temperature,Base,Sensor,Zone_Air_Temperature_Sensor,,,"zone, air, temp",,sensor|sp,hisMode:sampled,,,,,
9c6f9dab,Zone Air Temperature Setpoint,Base,Setpoint,Zone_Air_Temperature_Setpoint,,,"zone, air, temp",setpoint,sp,hisMode:sampled,,,,,
c98be0b0,Zone Air Temperature Effective Setpoint,Base,Setpoint,Effective_Zone_Air_Temperature_Setpoint,,,"zone, air, temp, effective",setpoint,sp,hisMode:sampled,,,,,
597f60fd,Zone Air Humidity,Base,Sensor,Zone_Air_Humidity_Sensor,,,"zone, air, humidity",,sensor|sp,hisMode:sampled,,,,,
7b01bdcd,Zone Air Humidity Setpoint,Base,Setpoint,Zone_Air_Humidity_Setpoint,,,"zone, air, humidity",setpoint,sp,hisMode:sampled,,,,,
f7068ae6,Zone Air Dew Point Temperature,Base,Sensor,Zone_Air_Dewpoint_Sensor,,,"zone, air, dewPoint, temp",,sp,hisMode:sampled,,,,,
57f72ef7,Building Pressure,Base,Sensor,Building Air Static Pressure Sensor,,,"air, pressure",building,sensor|sp,hisMode:sampled,,,,,
38225368,Building Pressure Setpoint,Base,Setpoint,Building Air Static Pressure Setpoint,,,"air, pressure","setpoint, building",sp,hisMode:sampled,,,,,
b39c407f,Average Zone Air Temperature,Base,Sensor,Average_Zone_Air_Temperature_Sensor,,,"zone, air, temp, avg",,sp,hisMode:sampled,,,,,
334c1d46,Active Power,Base,Sensor,Active_Power_Sensor,,,"active, power, (total), (ac)",,sensor|sp,hisMode:sampled,,,,,
388f38a1,Reactive Power,Base,Sensor,Reactive_Power_Sensor,,,"reactive, power, (total), (ac)",,sensor|sp,hisMode:sampled,,,,,
16d44db6,Current,Base,Sensor,Current_Sensor,,,"current, (mag), (avg)",,sensor|sp,hisMode:sampled,,,,,
0fc9cfbc,Voltage,Base,Sensor,Voltage_Sensor,,,"volt, (mag), (avg)",,sensor|sp,hisMode:sampled,,,,,
6a093871,Frequency,Base,Sensor,Frequency_Sensor,,,freq,,sensor|sp,hisMode:sampled,,,,,
e448a62d,Power Factor,Base,Sensor,Power_Factor_Sensor,,,"pf, (avg), (ac)",,sensor|sp,hisMode:sampled,,,,,
696df216,Torque,Base,Sensor,Torque_Sensor,,,,torque,sensor|sp,hisMode:sampled,,,,,
e80af5fa,Heatsink Temperature,Base,Sensor,Heat_Sink_Temperature_Sensor,,,temp,heatsink,sensor|sp,hisMode:sampled,,,,,
c31573c8,DC Voltage,Base,Sensor,DC_Bus_Voltage_Sensor,,,"volt, dc",,sensor|sp,hisMode:sampled,,,,,
297149cf,Condensate Alarm,Base,Status,Condensate_Leak_Alarm,,,condensate,alarm,sp,hisMode:sampled,,,,,
4c282ec5,Occupancy Status,Base,Status,Occupancy_Status,,,occupied,,sensor|sp,hisMode:sampled,,,,,
bc552955,Illuminance,Base,Sensor,Illuminance Sensor,,,illuminance,,sensor|sp,hisMode:sampled,,,,,
aa81fb0a,Zone Air PM1,Base,Sensor,PM1_Sensor,,,"zone, air",pm1,sensor|sp,hisMode:sampled,,,,,
1d5521c5,Zone Air PM2.5,Base,Sensor,PM2.5_Sensor,,,"zone, air",pm2.5,sensor|sp,hisMode:sampled,,,,,
21cc0101,Zone Air PM10,Base,Sensor,PM10_Sensor,,,"zone, air",pm10,sensor|sp,hisMode:sampled,,,,,
a7f9d6ab,Hot Deck Discharge Air Temperature Setpoint,Subparts,Setpoint,Discharge_Air_Temperature_Setpoint,Hot_Deck,,"hotDeck, discharge, air, temp",setpoint,sp,hisMode:sampled,,,,,
a6e4f9d4,Hot Deck Discharge Air Pressure,Subparts,Sensor,Discharge_Air_Static_Pressure_Sensor,Hot_Deck,,"hotDeck, discharge, air, pressure",,sensor|sp,hisMode:sampled,,,,,
